Excel File Analysis - Redacted Content
==================================================

Sheet: Sheet1
Employee Full Name | Employee ID | Date of In-Person Verification | Verified By (RA Name) | RA Signature / Initials | Authorized By (Supervisor) | Supervisor Email | Date of Authorization | Token Serial Number | Token Issuance Date
<PERSON> | EMP93203 | <DATE_TIME> | <PERSON> | AL | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-90386-AL | <DATE_TIME>
<PERSON> | EMP32537 | <DATE_TIME> | <PERSON> | SG | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-91521-AL | <DATE_TIME>
<PERSON> | EMP99952 | <DATE_TIME> | <PERSON> | AC | Micheal <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-91367-AL | <DATE_TIME>
<PERSON> | EMP89956 | <DATE_TIME> | <PERSON> | DM | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-97226-AL | <DATE_TIME>
Dawn Wong | EMP95067 | <DATE_TIME> | <PERSON> | JB | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-96190-AL | <DATE_TIME>
<PERSON> | EMP55065 | <DATE_TIME> | <PERSON> | <LOCATION> | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-95865-AL | <DATE_TIME>
<PERSON> | EMP36328 | <DATE_TIME> | <PERSON> | AK | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-98976-AL | <DATE_TIME>
<PERSON> | EMP71600 | <DATE_TIME> | <PERSON> | TM | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-94852-AL | <DATE_TIME>
<PERSON> | EMP53733 | <DATE_TIME> | <PERSON> | RC | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-93290-AL | <DATE_TIME>
<PERSON> | EMP83247 | <DATE_TIME> | <PERSON> | DB | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-92160-AL | <DATE_TIME>
<PERSON> | EMP95081 | <DATE_TIME> | Mrs. <PERSON> | MTT | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-95215-AL | <DATE_TIME>
<PERSON> | EMP61218 | <DATE_TIME> | <PERSON> | AD | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-91017-AL | <DATE_TIME>
<PERSON> | EMP33145 | <DATE_TIME> | Allison Washington | AW | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-90967-AL | <DATE_TIME>
<PERSON> | EMP94400 | <DATE_TIME> | <PERSON> | BL | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-99247-AL | <DATE_TIME>
<PERSON> | EMP89626 | <DATE_TIME> | <PERSON> | AH | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | <LOCATION> | <DATE_TIME>
<PERSON> | EMP65654 | <DATE_TIME> | <PERSON> | DL | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-97695-AL | <DATE_TIME>
Nicholas Morris | EMP12431 | <DATE_TIME> | <PERSON> | WE | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-95389-AL | <DATE_TIME>
<PERSON> | <DATE_TIME> | <PERSON> | DS | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-97232-AL | <DATE_TIME>
<PERSON> | EMP10345 | <DATE_TIME> | Tiffany Washington | TW | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-97928-AL | <DATE_TIME>
<PERSON> | EMP18988 | <DATE_TIME> | <PERSON> | SH | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-93892-AL | <DATE_TIME>
<PERSON> <LOCATION> | EMP73399 | <DATE_TIME> | <PERSON> | JG | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-90189-AL | <DATE_TIME>
<PERSON> | EMP93948 | <DATE_TIME> | <PERSON> | JB | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-91341-AL | <DATE_TIME>
<PERSON> | EMP66905 | <DATE_TIME> | <PERSON> | <PERSON> | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-90041-AL | <DATE_TIME>
<PERSON> | EMP30696 | <DATE_TIME> | <PERSON> | WC | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-98324-AL | <DATE_TIME>
<PERSON> | EMP99106 | <DATE_TIME> | <PERSON> | VS | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-99344-AL | <DATE_TIME>
<PERSON> | EMP47454 | <DATE_TIME> | <PERSON> | <LOCATION> | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-90191-AL | <DATE_TIME>
<PERSON> | EMP88162 | <DATE_TIME> | <PERSON> | AB | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-94556-AL | <DATE_TIME>
Morgan Williams | EMP82226 | <DATE_TIME> | <PERSON> | JG | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | <LOCATION>-AL | <DATE_TIME>
<PERSON> | EMP93437 | <DATE_TIME> | <PERSON> | TB | <PERSON> | <EMAIL_ADDRESS> | <DATE_TIME> | HT-98856-AL | <DATE_TIME>
